Repository Name,Repository URL,Stars,Forks,Contributor Name,Contributions
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,alexey-milovidov,27850
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,alesapin,6968
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,KochetovNicolai,4971
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,kssenii,3459
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,tavplubix,3150
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,azat,3012
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,kitaisreal,2892
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,akuzm,2029
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,Avogar,2009
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,CurtizJ,1986
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,blinkov,1938
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,vdimir,1681
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,proller,1508
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,nikitamikhaylov,1467
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,Felixoid,1244
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,rschu1ze,1233
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,antonio2368,1114
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,qoega,1018
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,mergify[bot],970
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,4ertus2,930
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,al13n321,841
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,amosbird,774
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,sevirov,651
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,evillique,646
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,abyss7,637
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,excitoon,636
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,taiyang-li,616
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,BayoNet,610
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,DanRoscigno,578
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,ucasfl,577
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,ludv1x,552
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,ka1bi4,546
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,DieHertz,544
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,devcrafter,534
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,den-crane,528
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,Algunenano,511
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,nikvas0,510
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,yakov-olkhovskiy,506
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,PKartaviy,495
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,vitlibar,482
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,novikd,481
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,zhang2014,457
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,bharatnc,443
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,davenger,407
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,gyuton,403
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,adevyatova,380
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,serxa,379
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,myrrc,371
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,lehasm,344
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,filimonov,329
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,Enmk,327
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,Vxider,316
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,egatov,313
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,FArthur-cmd,309
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,vzakaznikov,308
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,rfraposa,295
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,olgarev,289
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,lgbo-ustc,284
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,zvonand,273
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,rvasin,262
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,Jokser,258
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,traceon,255
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,blazerer,246
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,hanfei1991,206
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,CheSema,204
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,SmitaRKulkarni,202
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,danlark1,189
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,BoloniniD,185
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,sundy-li,175
ClickHouse,https://github.com/ClickHouse/ClickHouse,27760,5551,millb,175
